A0A0G2JPB7	GO:0009897;GO:0009897
ABCB11	GO:0016323;GO:0016323;GO:0000139;GO:0000139;GO:0005768;GO:0005768;GO:0005886;GO:0005886;GO:0009986;GO:0009986;GO:0016324;GO:0016324;GO:0046581;GO:0046581;GO:0046691;GO:0046691;GO:0055037;GO:0055037;GO:0055038;GO:0055038;GO:0070062;GO:0070062;GO:0016020;GO:0016020
ABCB4	GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005925;GO:0005925;GO:0005925;GO:0015629;GO:0015629;GO:0015629;GO:0016324;GO:0016324;GO:0016324;GO:0030136;GO:0030136;GO:0030136;GO:0045121;GO:0045121;GO:0045121;GO:0046581;GO:0046581;GO:0046581;GO:0070062;GO:0070062;GO:0070062;GO:0016020;GO:0016020;GO:0016020
ABCB5	GO:0005886;GO:0016020
ABCB6	GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0000139;GO:0000139;GO:0000139;GO:0000139;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005740;GO:0005740;GO:0005740;GO:0005740;GO:0005741;GO:0005741;GO:0005741;GO:0005741;GO:0005765;GO:0005765;GO:0005765;GO:0005765;GO:0005768;GO:0005768;GO:0005768;GO:0005768;GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005789;GO:0005789;GO:0005789;GO:0005789;GO:0005794;GO:0005794;GO:0005794;GO:0005794;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0031901;GO:0031901;GO:0031901;GO:0031901;GO:0032585;GO:0032585;GO:0032585;GO:0032585;GO:0033162;GO:0033162;GO:0033162;GO:0033162;GO:0036020;GO:0036020;GO:0036020;GO:0036020;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0043190;GO:0043190;GO:0043190;GO:0043190;GO:0005774;GO:0005774;GO:0005774;GO:0005774;GO:0016020;GO:0016020;GO:0016020;GO:0016020
ABCB7	GO:0005739;GO:0005739;GO:0005743;GO:0005743;GO:0016020;GO:0016020
ABCB8	GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0005739;GO:0005739;GO:0005739;GO:0005743;GO:0005743;GO:0005743;GO:0031966;GO:0031966;GO:0031966;GO:0062157;GO:0062157;GO:0062157;GO:0043190;GO:0043190;GO:0043190;GO:0016020;GO:0016020;GO:0016020
ABCB9	GO:0005769;GO:0005769;GO:0005783;GO:0005783;GO:0005764;GO:0005764;GO:0005765;GO:0005765;GO:0005789;GO:0005789;GO:0016020;GO:0016020;GO:0043231;GO:0043231
ABCC1	GO:0005886;GO:0005886;GO:0005886;GO:0009925;GO:0009925;GO:0009925;GO:0016020;GO:0016020;GO:0016020;GO:0016323;GO:0016323;GO:0016323;GO:0070062;GO:0070062;GO:0070062;GO:0016324;GO:0016324;GO:0016324;GO:0016328;GO:0016328;GO:0016328
ABCC10	GO:0005765;GO:0005765;GO:0005765;GO:0005886;GO:0005886;GO:0005886;GO:0009925;GO:0009925;GO:0009925;GO:0016323;GO:0016323;GO:0016323;GO:0016020;GO:0016020;GO:0016020
ABCC11	GO:0005774;GO:0005774;GO:0005886;GO:0005886;GO:0016324;GO:0016324;GO:0030659;GO:0030659;GO:0070062;GO:0070062;GO:0016020;GO:0016020
