A0A0G2JPB7	GO:0009897;GO:0009897
CAPN11	GO:0001669;GO:0005737
CAPN12	GO:0005737
CAPN13	GO:0005737
CAPN14	GO:0005737
CAPN15	GO:0005737;GO:0005737
CAPN2	GO:0045121;GO:0045121;GO:0000785;GO:0000785;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005758;GO:0005758;GO:0005764;GO:0005764;GO:0005783;GO:0005783;GO:0005794;GO:0005794;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005925;GO:0005925;GO:0009897;GO:0009897;GO:0030425;GO:0030425;GO:0030864;GO:0030864;GO:0031143;GO:0031143;GO:0043025;GO:0043025;GO:0070062;GO:0070062;GO:0097038;GO:0097038;GO:0110158;GO:0110158
CAPN3	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005730;GO:0005730;GO:0005730;GO:0005730;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0030016;GO:0030016;GO:0030016;GO:0030016;GO:0030018;GO:0030018;GO:0030018;GO:0030018;GO:0030315;GO:0030315;GO:0030315;GO:0030315;GO:0032991;GO:0032991;GO:0032991;GO:0032991
CAPN5	GO:0005925;GO:0005925;GO:0009986;GO:0009986;GO:0045202;GO:0045202;GO:0070062;GO:0070062;GO:0005737;GO:0005737
CAPN6	GO:0005876;GO:0005876;GO:0005876;GO:0048471;GO:0048471;GO:0048471;GO:0005737;GO:0005737;GO:0005737
CAPN7	GO:0005634;GO:0005634;GO:0005813;GO:0005813;GO:0005829;GO:0005829;GO:0070062;GO:0070062
CAPN8	GO:0005794;GO:0005794;GO:0005737;GO:0005737
CAPN9	GO:0005575;GO:0005575;GO:0005737;GO:0005737
CAPNS1	GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0070062;GO:0070062;GO:0070062;GO:0110158;GO:0110158;GO:0110158
CAPNS2	GO:0005829;GO:0005886;GO:0110158
CAPRIN1	GO:0000932;GO:0000932;GO:0000932;GO:0000932;GO:0000932;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0010494;GO:0010494;GO:0010494;GO:0010494;GO:0010494;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0030027;GO:0030027;GO:0030027;GO:0030027;GO:0030027;GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0030425;GO:0031252;GO:0031252;GO:0031252;GO:0031252;GO:0031252;GO:0098794;GO:0098794;GO:0098794;GO:0098794;GO:0098794;GO:0098978;GO:0098978;GO:0098978;GO:0098978;GO:0098978
CAPRIN2	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0005813;GO:0005813;GO:0005813;GO:0005813;GO:0005813;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0043235;GO:0043235;GO:0043235;GO:0043235;GO:0043235
CAPS	GO:0005737;GO:0031982
CAPSL	GO:0005737
CAPZA1	GO:0005576;GO:0005829;GO:0005856;GO:0015629;GO:0070062;GO:0071203;GO:0008290
CAPZA2	GO:0005576;GO:0005829;GO:0005903;GO:0015629;GO:0016020;GO:0030863;GO:0070062;GO:0008290
CAPZA3	GO:0005634;GO:0005634;GO:0005634;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020;GO:0030863;GO:0030863;GO:0030863;GO:0008290;GO:0008290;GO:0008290
CAPZB	GO:0005829;GO:0005856;GO:0005903;GO:0014069;GO:0015629;GO:0016020;GO:0030017;GO:0030027;GO:0030863;GO:0070062;GO:0097224;GO:0098685;GO:0098686;GO:0071203;GO:0008290
CARD10	GO:0005737;GO:0005737;GO:0032449;GO:0032449
CARD11	GO:0001772;GO:0001772;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0045121;GO:0045121;GO:0070062;GO:0070062;GO:0032449;GO:0032449
CARD14	GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0016235;GO:0016235
CARD16	GO:0032991;GO:0032991;GO:0032991;GO:0097179;GO:0097179;GO:0097179;GO:0097169;GO:0097169;GO:0097169;GO:0072559;GO:0072559;GO:0072559;GO:0072557;GO:0072557;GO:0072557
CARD17P	GO:0005737;GO:0005737;GO:0005737;GO:0032991;GO:0032991;GO:0032991
CARD18	GO:0032991;GO:0032991;GO:0032991
CARD19	GO:0005634;GO:0005634;GO:0005739;GO:0005739;GO:0005789;GO:0005789;GO:0005829;GO:0005829;GO:0031966;GO:0031966
CARD8	GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0032991;GO:0032991;GO:0032991;GO:0032991;GO:0072559;GO:0072559;GO:0072559;GO:0072559
CARD9	GO:0005737;GO:0005829;GO:0005886;GO:0032449;GO:0032991
CARF	GO:0001652;GO:0001652;GO:0005634;GO:0005634
CARHSP1	GO:0000932;GO:0005829;GO:0043186;GO:0005737
CARM1	GO:0043596;GO:0043596;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005829;GO:0005829
CARMIL1	GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016607;GO:0016607;GO:0016607;GO:0016607;GO:0030027;GO:0030027;GO:0030027;GO:0030027;GO:0031252;GO:0031252;GO:0031252;GO:0031252;GO:0044354;GO:0044354;GO:0044354;GO:0044354;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:0031941;GO:0031941;GO:0031941;GO:0031941
CARMIL2	GO:0001726;GO:0001726;GO:0001726;GO:0005737;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0005886;GO:0015629;GO:0015629;GO:0015629;GO:0016020;GO:0016020;GO:0016020;GO:0030027;GO:0030027;GO:0030027;GO:0031234;GO:0031234;GO:0031234;GO:0031252;GO:0031252;GO:0031252;GO:0044354;GO:0044354;GO:0044354;GO:0045111;GO:0045111;GO:0045111
CARMIL3	GO:0005737;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0005886;GO:0030027;GO:0030027;GO:0030027
CARNMT1	GO:0005634;GO:0005634;GO:0005829;GO:0005829
CARNS1	GO:0005575;GO:0005575;GO:0005575;GO:0005829;GO:0005829;GO:0005829
CARS1	GO:0005737;GO:0005737;GO:0005829;GO:0005829
CARS2	GO:0005759;GO:0005759;GO:0005737;GO:0005737
CARTPT	GO:0005615;GO:0005615;GO:0030141;GO:0030141;GO:0045202;GO:0045202
CASC2	GO:0005575;GO:0005575
CASC3	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0010494;GO:0010494;GO:0016607;GO:0016607;GO:0030425;GO:0030425;GO:0031965;GO:0031965;GO:0035145;GO:0035145;GO:0048471;GO:0048471;GO:0071006;GO:0071006
CASD1	GO:0000139;GO:0000139;GO:0000139
CASK	GO:0005604;GO:0005604;GO:0005652;GO:0005652;GO:0005730;GO:0005730;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005911;GO:0005911;GO:0005925;GO:0005925;GO:0015629;GO:0015629;GO:0016363;GO:0016363;GO:0031982;GO:0031982;GO:0042734;GO:0042734;GO:0060170;GO:0060170;GO:0098685;GO:0098685;GO:0005886;GO:0005886;GO:0016323;GO:0016323
CASKIN1	GO:0005737;GO:0005737
CASKIN2	GO:0005737;GO:0005737
CASP1	GO:0005730;GO:0005730;GO:0005730;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005874;GO:0005874;GO:0005874;GO:0005886;GO:0005886;GO:0005886;GO:0061702;GO:0061702;GO:0061702;GO:0072558;GO:0072558;GO:0072558;GO:0072559;GO:0072559;GO:0072559;GO:0097169;GO:0097169;GO:0097169;GO:0032991;GO:0032991;GO:0032991;GO:0072557;GO:0072557;GO:0072557;GO:0097179;GO:0097179;GO:0097179
CASP10	GO:0005829;GO:0005829;GO:0031265;GO:0031265;GO:0097342;GO:0097342;GO:0005737;GO:0005737
CASP12	GO:0005783;GO:0005783;GO:0005737;GO:0005737
CASP14	GO:0001533;GO:0005654;GO:0005739;GO:0005829;GO:0045095;GO:0005634;GO:0005737
CASP2	GO:0005634;GO:0005634;GO:0005634;GO:0005730;GO:0005730;GO:0005730;GO:0005739;GO:0005739;GO:0005739;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020;GO:1905369;GO:1905369;GO:1905369;GO:0005737;GO:0005737;GO:0005737
CASP3	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0043025;GO:0043025;GO:0045121;GO:0045121;GO:0031264;GO:0031264;GO:0005737;GO:0005737
CASP4	GO:0005576;GO:0005576;GO:0005739;GO:0005739;GO:0005783;GO:0005783;GO:0005789;GO:0005789;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0032991;GO:0032991;GO:0005737;GO:0005737
CASP5	GO:0005829;GO:0005829;GO:0072558;GO:0072558;GO:0005737;GO:0005737
CASP6	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005829;GO:0005829
CASP7	GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005615;GO:0005615;GO:0005654;GO:0005654
CASP8	GO:0005654;GO:0005654;GO:0005739;GO:0005739;GO:0005741;GO:0005741;GO:0005829;GO:0005829;GO:0005856;GO:0005856;GO:0043005;GO:0043005;GO:0044297;GO:0044297;GO:0045121;GO:0045121;GO:0031264;GO:0031264;GO:0031265;GO:0031265;GO:0032991;GO:0032991;GO:0097342;GO:0097342;GO:0005737;GO:0005737
CASP8AP2	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005739;GO:0005739;GO:0016605;GO:0016605;GO:0016605;GO:0016605
CASP9	GO:0005634;GO:0005634;GO:0005739;GO:0005739;GO:0005829;GO:0005829;GO:0008303;GO:0008303;GO:0043293;GO:0043293;GO:0032991;GO:0032991;GO:0005737;GO:0005737
CASQ1	GO:0005739;GO:0005739;GO:0005759;GO:0005759;GO:0005783;GO:0005783;GO:0005790;GO:0005790;GO:0005794;GO:0005794;GO:0014804;GO:0014804;GO:0016529;GO:0016529;GO:0030315;GO:0030315;GO:0033017;GO:0033017;GO:0033018;GO:0033018
CASQ2	GO:0005737;GO:0014701;GO:0016529;GO:0030018;GO:0033017;GO:0033018;GO:0034704
CASR	GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0005886;GO:0009986;GO:0009986;GO:0009986;GO:0016323;GO:0016323;GO:0016323;GO:0016324;GO:0016324;GO:0016324;GO:0043025;GO:0043025;GO:0043025;GO:0043679;GO:0043679;GO:0043679
CASS4	GO:0005856;GO:0005856;GO:0005856;GO:0005925;GO:0005925;GO:0005925;GO:0005737;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0005886
CAST	GO:0005783;GO:0005829;GO:0016020;GO:0005737
CASTOR1	GO:0005829;GO:0005829
CASTOR2	GO:0005829;GO:0005829;GO:0005829
CASTOR3P	GO:0005829;GO:0005829;GO:0005829;GO:0005829
CASZ1	GO:0000785;GO:0000785;GO:0000785;GO:0000785;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0043231;GO:0043231;GO:0043231;GO:0043231;GO:0005634;GO:0005634;GO:0005634;GO:0005634
CAT	GO:0005777;GO:0005576;GO:0005758;GO:0005764;GO:0005778;GO:0005782;GO:0005783;GO:0005794;GO:0005829;GO:0005886;GO:0005925;GO:0016020;GO:0034774;GO:0043231;GO:0062151;GO:0070062;GO:1904813;GO:0032991;GO:0005737;GO:0005739
CATIP	GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005886;GO:0005886;GO:0015629;GO:0015629
CATR1	GO:0005575
CATSPER1	GO:0005886;GO:0097228;GO:0036128
CATSPER2	GO:0005886;GO:0031514;GO:0036128
CATSPER3	GO:0005783;GO:0005886;GO:0031514;GO:0036128;GO:0001669
CATSPER4	GO:0005886;GO:0097228;GO:0036128;GO:0001669
CATSPERB	GO:0005886;GO:0005886;GO:0097228;GO:0097228;GO:0036128;GO:0036128;GO:0005929;GO:0005929
CATSPERD	GO:0005886;GO:0005886;GO:0097228;GO:0097228;GO:0036128;GO:0036128
CATSPERE	GO:0097228;GO:0097228;GO:0036128;GO:0036128
CATSPERG	GO:0005886;GO:0005886;GO:0097228;GO:0097228;GO:0036128;GO:0036128;GO:0031514;GO:0031514
CATSPERZ	GO:0005737;GO:0005737;GO:0005737;GO:0097228;GO:0097228;GO:0097228;GO:0036128;GO:0036128;GO:0036128
CAV1	GO:0005925;GO:0005925;GO:0000139;GO:0000139;GO:0002080;GO:0002080;GO:0005768;GO:0005768;GO:0005783;GO:0005783;GO:0005789;GO:0005789;GO:0005811;GO:0005811;GO:0005886;GO:0005886;GO:0005901;GO:0005901;GO:0005929;GO:0005929;GO:0005938;GO:0005938;GO:0016020;GO:0016020;GO:0030666;GO:0030666;GO:0031410;GO:0031410;GO:0031901;GO:0031901;GO:0045121;GO:0045121;GO:0048471;GO:0048471;GO:0002095;GO:0002095;GO:0032991;GO:0032991;GO:0042383;GO:0042383;GO:0005794;GO:0005794
CAV2	GO:0005925;GO:0000139;GO:0002080;GO:0005634;GO:0005794;GO:0005886;GO:0005901;GO:0030133;GO:0031234;GO:0031410;GO:0045121;GO:0048471;GO:0002095;GO:0032991;GO:0042383
CAV3	GO:0030018;GO:0000139;GO:0005783;GO:0005886;GO:0005901;GO:0009986;GO:0014704;GO:0030315;GO:0031594;GO:0031982;GO:0042383;GO:0043231;GO:0045121;GO:0016010;GO:0005925
CAVIN1	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005739;GO:0005739;GO:0005739;GO:0005783;GO:0005783;GO:0005783;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005901;GO:0005901;GO:0005901;GO:0043231;GO:0043231;GO:0043231;GO:0045121;GO:0045121;GO:0045121;GO:0032991;GO:0032991;GO:0032991
CAVIN2	GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005901;GO:0005901;GO:0045121;GO:0045121
CAVIN3	GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005901;GO:0005901;GO:0005901;GO:0032991;GO:0032991;GO:0032991
CAVIN4	GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005901;GO:0005901;GO:0016528;GO:0016528;GO:0030018;GO:0030018;GO:0042383;GO:0042383;GO:0005737;GO:0005737
CBARP	GO:0030426;GO:0030426;GO:0005886;GO:0005886;GO:0030141;GO:0030141;GO:0030672;GO:0030672
CBFA2T2	GO:0005634;GO:0005634;GO:0005634
CBFA2T3	GO:0000139;GO:0000139;GO:0000139;GO:0000139;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0005730;GO:0005634;GO:0005634;GO:0005634;GO:0005634
CBFB	GO:0005654;GO:0016020;GO:0016513
CBL	GO:0005794;GO:0005794;GO:0005794;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005925;GO:0005925;GO:0005925;GO:0005929;GO:0005929;GO:0005929;GO:0030426;GO:0030426;GO:0030426;GO:0048471;GO:0048471;GO:0048471;GO:0016600;GO:0016600;GO:0016600;GO:0045121;GO:0045121;GO:0045121
CBLB	GO:0005654;GO:0005654;GO:0005654;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0045121;GO:0045121;GO:0045121
CBLC	GO:0005886;GO:0005886;GO:0005886;GO:0045121;GO:0045121;GO:0045121
CBLIF	GO:0005576;GO:0005576;GO:0005576;GO:0005615;GO:0005615;GO:0005615;GO:0005768;GO:0005768;GO:0005768;GO:0005902;GO:0005902;GO:0005902;GO:0016324;GO:0016324;GO:0016324;GO:0043202;GO:0043202;GO:0043202
CBLL1	GO:0005634;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0016607;GO:0016607;GO:0016607;GO:0036396;GO:0036396;GO:0036396;GO:0000151;GO:0000151;GO:0000151
CBLL2	GO:0005737;GO:0005737
CBLN1	GO:0005576;GO:0045211;GO:0098688;GO:0062023;GO:0043083;GO:0098978
CBLN2	GO:0098978;GO:0098978
CBLN3	GO:0005783;GO:0005783;GO:0005794;GO:0005794
CBLN4	GO:0005576;GO:0005576;GO:0005576;GO:0098982;GO:0098982;GO:0098982;GO:0062023;GO:0062023;GO:0062023;GO:0045202;GO:0045202;GO:0045202
CBR1	GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0070062;GO:0070062;GO:0070062;GO:0070062;GO:1903561;GO:1903561;GO:1903561;GO:1903561
CBR3	GO:0005615;GO:0005615;GO:0005654;GO:0005654;GO:0005829;GO:0005829
CBR4	GO:0005759;GO:0005759;GO:1990204;GO:1990204
CBS	GO:0005634;GO:0005737;GO:0005829
CBX1	GO:0000781;GO:0000781;GO:0000775;GO:0000775;GO:0000785;GO:0000785;GO:0000792;GO:0000792;GO:0001939;GO:0001939;GO:0001940;GO:0001940;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005819;GO:0005819;GO:0010369;GO:0010369;GO:0090734;GO:0090734;GO:0005721;GO:0005721
CBX2	GO:0000791;GO:0005634;GO:0005654;GO:0031519;GO:0035102;GO:0000792
CBX3	GO:0000779;GO:0000781;GO:0000785;GO:0000791;GO:0000792;GO:0005634;GO:0005635;GO:0005637;GO:0005654;GO:0005721;GO:0005819;GO:0061793;GO:0090734;GO:0000775;GO:0090575
CBX4	GO:0005634;GO:0005654;GO:0016604;GO:0016607;GO:0031519;GO:0035102
CBX5	GO:0016605;GO:0016605;GO:0000776;GO:0000776;GO:0000781;GO:0000781;GO:0000792;GO:0000792;GO:0005634;GO:0005634;GO:0005635;GO:0005635;GO:0005654;GO:0005654;GO:0005721;GO:0005721;GO:0005730;GO:0005730;GO:0010369;GO:0010369;GO:0090734;GO:0090734;GO:0000118;GO:0000118;GO:0017053;GO:0017053;GO:0032991;GO:0032991;GO:0035097;GO:0035097;GO:1990904;GO:1990904
CBX6	GO:0000792;GO:0005634;GO:0005654;GO:0031519;GO:0000785;GO:0035102
CBX7	GO:0000785;GO:0005634;GO:0005654;GO:0005829;GO:0031519;GO:0035102
CBX8	GO:0000785;GO:0000785;GO:0000785;GO:0000792;GO:0000792;GO:0000792;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0031519;GO:0031519;GO:0031519;GO:0035102;GO:0035102;GO:0035102
CBY1	GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005654;GO:0005802;GO:0005802;GO:0005802;GO:0005802;GO:0005802;GO:0005802;GO:0005814;GO:0005814;GO:0005814;GO:0005814;GO:0005814;GO:0005814;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0016607;GO:0016607;GO:0016607;GO:0016607;GO:0016607;GO:0016607;GO:0036064;GO:0036064;GO:0036064;GO:0036064;GO:0036064;GO:0036064
CBY2	GO:0031410;GO:0031410
CC2D1A	GO:0001650;GO:0001650;GO:0005815;GO:0005815;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0070062;GO:0070062;GO:0005634;GO:0005634
CC2D1B	GO:0005635;GO:0005635;GO:0005654;GO:0005654;GO:0043231;GO:0043231;GO:0005634;GO:0005634
CC2D2A	GO:0005829;GO:0005829;GO:0005856;GO:0005856;GO:0035869;GO:0035869;GO:0036038;GO:0036038
CC2D2B	GO:0035869;GO:0035869;GO:0035869
CCAR1	GO:0005641;GO:0005641;GO:0005641;GO:0005654;GO:0005654;GO:0005654;GO:0048471;GO:0048471;GO:0048471;GO:0005634;GO:0005634;GO:0005634
CCAR2	GO:0000785;GO:0000785;GO:0000785;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005759;GO:0005759;GO:0005759;GO:0005819;GO:0005819;GO:0005819;GO:0044609;GO:0044609;GO:0044609
CCBE1	GO:0005615;GO:0005615;GO:0005615;GO:0031012;GO:0031012;GO:0031012;GO:0005581;GO:0005581;GO:0005581
CCDC102A	GO:0016459
CCDC102B	GO:0005737;GO:0005737;GO:0005814;GO:0005814
CCDC103	GO:0005576;GO:0005737;GO:0005930;GO:0031514;GO:0036157
CCDC105	GO:0070062
CCDC106	GO:0005654;GO:0005829
CCDC107	GO:0016020;GO:0016020
CCDC110	GO:0005654;GO:0005654;GO:0005794;GO:0005794;GO:0005856;GO:0005856
CCDC112	GO:0005737;GO:0005737;GO:0034451;GO:0034451
CCDC113	GO:0034451;GO:0034451;GO:0036064;GO:0036064;GO:0032991;GO:0032991;GO:0005930;GO:0005930
CCDC115	GO:0005764;GO:0005768;GO:0005783;GO:0005793;GO:0016020;GO:0030137;GO:0016471;GO:0042406
CCDC116	GO:0005737;GO:0005813
CCDC117	GO:0005634;GO:0005737;GO:0072686
CCDC12	GO:0005684;GO:0071014
CCDC120	GO:0005768;GO:0005768;GO:0005814;GO:0005814;GO:0030426;GO:0030426;GO:0120103;GO:0120103
CCDC124	GO:0005815;GO:0005829;GO:0005886;GO:0030496;GO:0005634
CCDC125	GO:0005737;GO:0005737
CCDC126	GO:0005576;GO:0005576;GO:0016020;GO:0016020
CCDC13	GO:0005654;GO:0005813;GO:0005829;GO:0034451;GO:0042995
CCDC134	GO:0005576;GO:0005634;GO:0005783;GO:0016020
CCDC136	GO:0002080;GO:0002080;GO:0002080
CCDC137	GO:0001650;GO:0001650;GO:0005694;GO:0005694;GO:0005730;GO:0005730;GO:0005634;GO:0005634
CCDC14	GO:0005737;GO:0005813;GO:0034451
CCDC141	GO:0005737;GO:0005737;GO:0005813;GO:0005813
CCDC146	GO:0005737;GO:0005737;GO:0005814;GO:0005814;GO:0005856;GO:0005856
CCDC15	GO:0005813
CCDC154	GO:0005769;GO:0005769
CCDC163	GO:0016020;GO:0016020;GO:0016020
CCDC167	GO:0016020;GO:0016020;GO:0016020
CCDC168	GO:0016020;GO:0016020
CCDC170	GO:0005794;GO:0005794;GO:0036064;GO:0036064
CCDC172	GO:0005737;GO:0005737;GO:0097225;GO:0097225
CCDC174	GO:0005634;GO:0005634;GO:0005654;GO:0005654
CCDC178	GO:0036064;GO:0036064
CCDC18	GO:0005737;GO:0034451
CCDC180	GO:0070062;GO:0070062;GO:0070062
CCDC181	GO:0002177;GO:0002177;GO:0005737;GO:0005737;GO:0005874;GO:0005874;GO:0036126;GO:0036126
CCDC182	GO:0005575
CCDC184	GO:0005737;GO:0005737
CCDC186	GO:0005802;GO:0005802
CCDC187	GO:0005813
CCDC188	GO:0016020
CCDC22	GO:0005575;GO:0005575;GO:0005575;GO:0005654;GO:0005654;GO:0005654;GO:0005768;GO:0005768;GO:0005768;GO:0005813;GO:0005813;GO:0005813;GO:0005829;GO:0005829;GO:0005829
CCDC25	GO:0005886;GO:0012505
CCDC28B	GO:0005737;GO:0005813
CCDC3	GO:0005576;GO:0005783
CCDC33	GO:0005777
CCDC38	GO:0005737;GO:0005813
CCDC39	GO:0005576;GO:0005829;GO:0005929;GO:0005930
CCDC40	GO:0005576;GO:0005576;GO:0005737;GO:0005737;GO:0005929;GO:0005929;GO:0005930;GO:0005930
CCDC43	GO:0005829
CCDC47	GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005789;GO:0005789;GO:0005789;GO:0005789;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0030867;GO:0030867;GO:0030867;GO:0030867;GO:0101031;GO:0101031;GO:0101031;GO:0101031
CCDC50	GO:0005829;GO:0005829;GO:0005737;GO:0005737
CCDC51	GO:0005743;GO:0005743;GO:0062157;GO:0062157
CCDC57	GO:0005737;GO:0005813;GO:0005814;GO:0005876;GO:0034451
CCDC59	GO:0005654;GO:0005654;GO:0005654;GO:0005654
CCDC6	GO:0005829;GO:0005829;GO:0005829;GO:0005856;GO:0005856;GO:0005856
CCDC61	GO:0005737;GO:0005813;GO:0005815;GO:0034451;GO:0036064;GO:0120103
CCDC62	GO:0001669;GO:0005634;GO:0005654;GO:0005886
CCDC63	GO:0005930
CCDC65	GO:0031514;GO:0031514;GO:0036064;GO:0036064;GO:0005858;GO:0005858;GO:0005930;GO:0005930
CCDC66	GO:0035869;GO:0001750;GO:0001917;GO:0005813;GO:0005829;GO:0005874;GO:0005929;GO:0030054;GO:0034451;GO:0036064;GO:0090543
CCDC68	GO:0005737;GO:0005814;GO:0120103;GO:0005622
CCDC69	GO:0030496;GO:0051233;GO:0005634;GO:0005737
CCDC70	GO:0005739;GO:0005886
CCDC77	GO:0005813;GO:0016020
CCDC78	GO:0005814;GO:0005814;GO:0005814;GO:0016529;GO:0016529;GO:0016529;GO:0042383;GO:0042383;GO:0042383;GO:0048471;GO:0048471;GO:0048471;GO:0098536;GO:0098536;GO:0098536;GO:0005737;GO:0005737;GO:0005737
CCDC8	GO:0005654;GO:0005737;GO:0005813;GO:0005829;GO:0005886;GO:1990393
CCDC80	GO:0005576;GO:0005576;GO:0005576;GO:0005576;GO:0005614;GO:0005614;GO:0005614;GO:0005614;GO:0005604;GO:0005604;GO:0005604;GO:0005604
CCDC81	GO:0005737;GO:0005813
CCDC82	GO:0005634;GO:0005634
CCDC85A	GO:0005912;GO:0005912
CCDC85B	GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0005813;GO:0005813;GO:0005912;GO:0005912
CCDC85C	GO:0005912;GO:0005923;GO:0043296
CCDC86	GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005694;GO:0005694;GO:0005730;GO:0005730
CCDC88A	GO:0005783;GO:0005783;GO:0005783;GO:0005783;GO:0005794;GO:0005794;GO:0005794;GO:0005794;GO:0005814;GO:0005814;GO:0005814;GO:0005814;GO:0005829;GO:0005829;GO:0005829;GO:0005829;GO:0005886;GO:0005886;GO:0005886;GO:0005886;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0030027;GO:0030027;GO:0030027;GO:0030027;GO:0031410;GO:0031410;GO:0031410;GO:0031410;GO:0036064;GO:0036064;GO:0036064;GO:0036064;GO:0005737;GO:0005737;GO:0005737;GO:0005737;GO:0005813;GO:0005813;GO:0005813;GO:0005813
CCDC88B	GO:0005654;GO:0005654;GO:0005783;GO:0005783;GO:0005794;GO:0005794;GO:0005813;GO:0005813;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0005737;GO:0005737
