A2MRAP	GO:0002091;GO:0007165;GO:0010916;GO:0032091;GO:0048259;GO:0060548;GO:0150093;GO:1900116;GO:1900222;GO:1900223;GO:2000272
A2RP	GO:0016071;GO:0034063
A3GALT2	GO:0005975;GO:0006688;GO:0071287;GO:0030259
A3GALT2P	GO:0005975;GO:0006688;GO:0071287;GO:0030259
A4	GO:1905598;GO:0010468;GO:0050890;GO:0000086;GO:0001774;GO:0001934;GO:0001967;GO:0002265;GO:0006378;GO:0006417;GO:0006468;GO:0006878;GO:0006897;GO:0006979;GO:0007155;GO:0007176;GO:0007219;GO:0007409;GO:0007611;GO:0007612;GO:0007617;GO:0007626;GO:0008088;GO:0008203;GO:0008285;GO:0008344;GO:0008542;GO:0010288;GO:0010466;GO:0010628;GO:0010629;GO:0010800;GO:0010971;GO:0014005;GO:0016199;GO:0016322;GO:0016358;GO:0030111;GO:0030198;GO:0030900;GO:0031175;GO:0032092;GO:0032722;GO:0032731;GO:0032755;GO:0032760;GO:0033138;GO:0035235;GO:0040014;GO:0042327;GO:0045665;GO:0045821;GO:0045931;GO:0045944;GO:0046330;GO:0048143;GO:0048169;GO:0048669;GO:0050729;GO:0050730;GO:0050803;GO:0050808;GO:0050885;GO:0051091;GO:0051092;GO:0051124;GO:0051247;GO:0051402;GO:0051563;GO:0070050;GO:0070374;GO:0070555;GO:0071280;GO:0071287;GO:0071320;GO:0071874;GO:0098815;GO:0150003;GO:1900272;GO:1900273;GO:1901224;GO:1904646;GO:1905606;GO:1905908;GO:1990000;GO:1990090;GO:1990535;GO:2000310;GO:2000406;GO:0006811;GO:0006935;GO:0019221;GO:0034220;GO:0007417
A4GALT	GO:0007009;GO:0001576;GO:0006688;GO:0006493
A4GALT1	GO:0007009;GO:0001576;GO:0006688;GO:0006493
A4GNT	GO:0009101;GO:0005975;GO:0016266;GO:0050673;GO:0050680;GO:0006493
AAAS	GO:0006913;GO:0001578;GO:0007612;GO:0009566;GO:0015031;GO:0046822;GO:0051028;GO:0090307
AAC1	GO:0000002;GO:0006091;GO:0008637;GO:0015853;GO:0015866;GO:0046902;GO:0060546;GO:0140021;GO:1901526;GO:1902600;GO:1990544;GO:1990845;GO:0006805;GO:1901029
AAC2	GO:0007059;GO:0008284;GO:0015853;GO:0030183;GO:0030218;GO:0046902;GO:0051503;GO:0140021;GO:1901029;GO:1901526;GO:1902600;GO:1990544;GO:1990830;GO:1990845;GO:0006805
AAC3	GO:0006915;GO:0140021;GO:1901029
AAC4	GO:0007141;GO:0007283;GO:0030154;GO:0046902;GO:0140021;GO:1901029
AACS	GO:0006631;GO:0046951;GO:0032024
AACT	GO:0006953;GO:0006954;GO:0019216;GO:0030277;GO:0010951
AADAC	GO:0006629;GO:0006805;GO:0010898
AADACL1	GO:0006470;GO:0006805;GO:0016042;GO:0034383;GO:0046485;GO:0060395
AADAT	GO:0006103;GO:0006536;GO:0009058;GO:0033512;GO:0070189;GO:0097052;GO:1901605
AADC	GO:0006520;GO:0007623;GO:0010259;GO:0015842;GO:0033076;GO:0042416;GO:0046684;GO:0052314;GO:0071312;GO:0071363;GO:0071466;GO:0006584;GO:0042427
AAED1	GO:0045821;GO:0070374;GO:0098869
AAG	GO:0006307;GO:0045007;GO:0006284
AAG10	GO:0034599;GO:0045944;GO:1900037;GO:1905448;GO:0007005
AAG13	GO:0051592
AAG2	GO:0006457;GO:0009617;GO:0051085
AAG4	GO:0000902;GO:0001774;GO:0001836;GO:0002434;GO:0006629;GO:0006956;GO:0006958;GO:0009615;GO:0010628;GO:0017038;GO:0031333;GO:0031334;GO:0032286;GO:0032436;GO:0032760;GO:0042127;GO:0043065;GO:0043691;GO:0045087;GO:0045429;GO:0048260;GO:0050821;GO:0051092;GO:0051131;GO:0051788;GO:0060548;GO:0061077;GO:0061518;GO:0061740;GO:0090201;GO:1900221;GO:1901214;GO:1901216;GO:1902004;GO:1902230;GO:1902430;GO:1902847;GO:1902949;GO:1902998;GO:1903573;GO:1905907;GO:1905908;GO:2000060;GO:0042981
AAG5	GO:0008610;GO:0008611
AAG8	GO:0006869;GO:0007399;GO:0036474;GO:0038003;GO:0043523;GO:0070207
AAGAB	GO:0015031
AAK1	GO:0006468;GO:0032880;GO:0045747;GO:0046777;GO:0050821;GO:0061024;GO:0140238;GO:2000369
AAMDC	GO:0045600
AAMP	GO:0001525;GO:0010595;GO:0014909;GO:0030154
AANAT	GO:0006474;GO:0007623;GO:0009648;GO:0010043;GO:0030187;GO:0032868;GO:0034097;GO:0034695;GO:0046219;GO:0046688;GO:0051412;GO:0051592;GO:0071320;GO:0009416
AAP	GO:0002034;GO:0006953;GO:0010757;GO:0030199;GO:0032967;GO:0042730;GO:0045597;GO:0045944;GO:0046330;GO:0048514;GO:0048661;GO:0051496;GO:0051918;GO:0070374;GO:0071636;GO:2000049;GO:0010951
AAR2	GO:0000244
AARF	GO:0016310
AARS	GO:0006400;GO:0006418;GO:0006419;GO:0008033;GO:0021680;GO:0043524;GO:0050885;GO:0051402;GO:0106074;GO:0140018
AARS1	GO:0006400;GO:0006418;GO:0006419;GO:0008033;GO:0021680;GO:0043524;GO:0050885;GO:0051402;GO:0106074;GO:0140018
AARS2	GO:0070143;GO:0106074;GO:0006419;GO:0006400
AARSD1	GO:0006419;GO:0008150;GO:0106074;GO:0006450
AARSL	GO:0070143;GO:0106074;GO:0006419;GO:0006400
AASDH	GO:0006631;GO:0019482
AASDHPPT	GO:0009258;GO:0015939;GO:0018215;GO:0051604;GO:0019878
AASS	GO:0000122;GO:0006554;GO:0033512;GO:0019878
AAT	GO:0006953;GO:0007596;GO:0010951
AAT1	GO:0009058;GO:0032869;GO:0042594;GO:0042853;GO:0045722;GO:0003341;GO:0007283;GO:0030154;GO:1904158
AAT2	GO:0006103;GO:0009058;GO:0042851;GO:0042853
AATF	GO:0006974;GO:0007155;GO:0007346;GO:0032929;GO:0040016;GO:0042254;GO:0042985;GO:0043066;GO:0045944;GO:2000378;GO:2001234;GO:0006357
AATK	GO:0008150;GO:0007420;GO:0038083
AATYK	GO:0008150;GO:0007420;GO:0038083
AATYK2	GO:0001881;GO:0006468;GO:0018105;GO:0018107;GO:0032456;GO:0033572;GO:0045022;GO:0046777
AAVR	GO:0001764
ABAT	GO:0001666;GO:0007568;GO:0007620;GO:0007626;GO:0009410;GO:0009448;GO:0009449;GO:0010039;GO:0014053;GO:0021549;GO:0031652;GO:0032024;GO:0033602;GO:0035094;GO:0035640;GO:0042135;GO:0045471;GO:0045776;GO:0045964;GO:0048148;GO:0070474;GO:0090331;GO:0097151;GO:1902722;GO:1904450;GO:0009450
ABBP1	GO:0001837;GO:0016556;GO:0045893;GO:0071230;GO:1901537;GO:1904580;GO:2000623;GO:0010468
ABC1	GO:0002790;GO:0006497;GO:0006911;GO:0007040;GO:0007186;GO:0007189;GO:0008203;GO:0009306;GO:0010745;GO:0010875;GO:0010887;GO:0016197;GO:0023061;GO:0032367;GO:0032489;GO:0033344;GO:0033700;GO:0034380;GO:0034616;GO:0038027;GO:0042632;GO:0043691;GO:0045332;GO:0055091;GO:0060155;GO:0071222;GO:0071300;GO:0071404;GO:0071806;GO:0090107;GO:0090108;GO:0099039;GO:0120009;GO:0140115
ABC12	GO:0043589;GO:0003336;GO:0006672;GO:0006869;GO:0006886;GO:0010875;GO:0019725;GO:0031424;GO:0032379;GO:0032940;GO:0033344;GO:0033700;GO:0034204;GO:0035627;GO:0043129;GO:0045055;GO:0045616;GO:0048286;GO:0055085;GO:0055088;GO:0061178;GO:0061436;GO:0072659;GO:2000010
ABC2	GO:0000184;GO:0045859;GO:0045540;GO:0019218;GO:0032384;GO:0032805;GO:0045939;GO:0090370;GO:1901873;GO:1902004;GO:1902993;GO:1905598;GO:1905601;GO:0032289;GO:0046512;GO:0001573;GO:0006629;GO:0006684;GO:0006687;GO:0007626;GO:0009410;GO:0032383;GO:0042632;GO:0042986;GO:0048545;GO:0055085;GO:0060049;GO:0070723;GO:0071072;GO:0090155;GO:0090156;GO:0099040;GO:0150104;GO:1904375;GO:2000008;GO:0006869
