A0A0G2JPB7	GO:0005102;GO:0005102
ABCA3	GO:0005319;GO:0005319;GO:0005524;GO:0005524;GO:0008559;GO:0008559;GO:0016887;GO:0016887;GO:0120019;GO:0120019;GO:0140345;GO:0140345;GO:0042626;GO:0042626
ABCA4	GO:0003924;GO:0003924;GO:0005501;GO:0005501;GO:0005502;GO:0005502;GO:0005503;GO:0005503;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0034632;GO:0034632;GO:0090555;GO:0090555;GO:0140327;GO:0140327;GO:0140347;GO:0140347;GO:0140359;GO:0140359;GO:0140326;GO:0140326;GO:0042626;GO:0042626;GO:0005548;GO:0005548
ABCA5	GO:0005319;GO:0005319;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0140359;GO:0140359;GO:0042626;GO:0042626
ABCA6	GO:0005524;GO:0140359;GO:0005319;GO:0042626
ABCA7	GO:0005524;GO:0005548;GO:0016887;GO:0034188;GO:0090554;GO:0090556;GO:0140328;GO:0140359;GO:0042626
ABCA8	GO:0005524;GO:0005524;GO:0008559;GO:0008559;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0140359;GO:0140359;GO:0005319;GO:0005319
ABCA9	GO:0005524;GO:0140359;GO:0005319;GO:0042626
ABCB1	GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0008559;GO:0008559;GO:0008559;GO:0015562;GO:0015562;GO:0015562;GO:0016887;GO:0016887;GO:0016887;GO:0022857;GO:0022857;GO:0022857;GO:0031625;GO:0031625;GO:0031625;GO:0042626;GO:0042626;GO:0042626;GO:0042910;GO:0042910;GO:0042910;GO:0046943;GO:0046943;GO:0046943;GO:0090554;GO:0090554;GO:0090554;GO:0090555;GO:0090555;GO:0090555;GO:0099038;GO:0099038;GO:0099038;GO:0140328;GO:0140328;GO:0140328
ABCB10	GO:0005515;GO:0005524;GO:0016887;GO:0042803;GO:0140359
ABCB11	GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0008559;GO:0008559;GO:0015125;GO:0015125;GO:0015126;GO:0015126;GO:0015144;GO:0015144;GO:0015432;GO:0015432;GO:0016887;GO:0016887
ABCB4	GO:0099038;GO:0099038;GO:0099038;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0005548;GO:0005548;GO:0005548;GO:0016887;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0042626;GO:0090554;GO:0090554;GO:0090554;GO:0140359;GO:0140359;GO:0140359
ABCB5	GO:0005524;GO:0008559;GO:0015562;GO:0016887;GO:0042626
ABCB6	GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0015439;GO:0015439;GO:0015439;GO:0015439;GO:0015562;GO:0015562;GO:0015562;GO:0015562;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0020037;GO:0020037;GO:0020037;GO:0020037;GO:0046906;GO:0046906;GO:0046906;GO:0046906;GO:0140359;GO:0140359;GO:0140359;GO:0140359
ABCB7	GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0015232;GO:0015232;GO:0016887;GO:0016887;GO:0042803;GO:0042803;GO:0140481;GO:0140481;GO:0042626;GO:0042626
ABCB8	GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0016887;GO:0140359;GO:0140359;GO:0140359;GO:0042626;GO:0042626;GO:0042626
ABCB9	GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0015421;GO:0015421;GO:0015440;GO:0015440;GO:0016887;GO:0016887;GO:0022857;GO:0022857;GO:0042803;GO:0042803;GO:0042626;GO:0042626
ABCC1	GO:0005524;GO:0005524;GO:0005524;GO:0015420;GO:0015420;GO:0015420;GO:0015431;GO:0015431;GO:0015431;GO:0015562;GO:0015562;GO:0015562;GO:0016887;GO:0016887;GO:0016887;GO:0034040;GO:0034040;GO:0034040;GO:0034634;GO:0034634;GO:0034634;GO:0042626;GO:0042626;GO:0042626;GO:0042910;GO:0042910;GO:0042910;GO:0043225;GO:0043225;GO:0043225;GO:0046943;GO:0046943;GO:0046943;GO:0140359;GO:0140359;GO:0140359;GO:0008559;GO:0008559;GO:0008559
ABCC10	GO:0005524;GO:0005524;GO:0005524;GO:0008559;GO:0008559;GO:0008559;GO:0015431;GO:0015431;GO:0015431;GO:0016887;GO:0016887;GO:0016887;GO:0043225;GO:0043225;GO:0043225;GO:0140359;GO:0140359;GO:0140359;GO:0042626;GO:0042626;GO:0042626
ABCC11	GO:0005524;GO:0005524;GO:0008514;GO:0008514;GO:0008559;GO:0008559;GO:0015216;GO:0015216;GO:0015431;GO:0015431;GO:0015432;GO:0015432;GO:0016887;GO:0016887;GO:0043225;GO:0043225;GO:0042626;GO:0042626
ABCC12	GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0140359;GO:0140359;GO:0042626;GO:0042626
ABCC2	GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0008514;GO:0008514;GO:0008514;GO:0008514;GO:0008514;GO:0008559;GO:0008559;GO:0008559;GO:0008559;GO:0008559;GO:0015127;GO:0015127;GO:0015127;GO:0015127;GO:0015127;GO:0015431;GO:0015431;GO:0015431;GO:0015431;GO:0015431;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0042626;GO:0042626;GO:0042626;GO:0042910;GO:0042910;GO:0042910;GO:0042910;GO:0042910;GO:0043225;GO:0043225;GO:0043225;GO:0043225;GO:0043225;GO:0140359;GO:0140359;GO:0140359;GO:0140359;GO:0140359
ABCC3	GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0008559;GO:0008559;GO:0008559;GO:0008559;GO:0015164;GO:0015164;GO:0015164;GO:0015164;GO:0015431;GO:0015431;GO:0015431;GO:0015431;GO:0015432;GO:0015432;GO:0015432;GO:0015432;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0042626;GO:0042626;GO:0042910;GO:0042910;GO:0042910;GO:0042910;GO:0043225;GO:0043225;GO:0043225;GO:0043225;GO:0071714;GO:0071714;GO:0071714;GO:0071714;GO:0140359;GO:0140359;GO:0140359;GO:0140359
ABCC4	GO:0001409;GO:0001409;GO:0001409;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0008559;GO:0008559;GO:0008559;GO:0015132;GO:0015132;GO:0015132;GO:0015143;GO:0015143;GO:0015143;GO:0015216;GO:0015216;GO:0015216;GO:0015431;GO:0015431;GO:0015431;GO:0015432;GO:0015432;GO:0015432;GO:0015562;GO:0015562;GO:0015562;GO:0016404;GO:0016404;GO:0016404;GO:0016887;GO:0016887;GO:0016887;GO:0034634;GO:0034634;GO:0034634;GO:0042626;GO:0042626;GO:0042626;GO:0042910;GO:0042910;GO:0042910;GO:0043225;GO:0043225;GO:0043225;GO:0140359;GO:0140359;GO:0140359
ABCC5	GO:0005524;GO:0005524;GO:0008514;GO:0008514;GO:0008559;GO:0008559;GO:0015216;GO:0015216;GO:0015232;GO:0015232;GO:0015562;GO:0015562;GO:0016887;GO:0016887;GO:0022884;GO:0022884;GO:0034634;GO:0034634;GO:0042626;GO:0042626;GO:0042910;GO:0042910;GO:0043225;GO:0043225;GO:1901505;GO:1901505
ABCC6	GO:0005524;GO:0005524;GO:0005524;GO:0015431;GO:0015431;GO:0015431;GO:0016887;GO:0016887;GO:0016887;GO:0042626;GO:0042626;GO:0042626;GO:0043225;GO:0043225;GO:0043225
ABCC8	GO:0015272;GO:0015272;GO:0015272;GO:0015272;GO:0005267;GO:0005267;GO:0005267;GO:0005267;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0008281;GO:0008281;GO:0008281;GO:0008281;GO:0016887;GO:0016887;GO:0016887;GO:0016887;GO:0019829;GO:0019829;GO:0019829;GO:0019829;GO:0019855;GO:0019855;GO:0019855;GO:0019855;GO:0043531;GO:0043531;GO:0043531;GO:0043531;GO:0044325;GO:0044325;GO:0044325;GO:0044325;GO:0070320;GO:0070320;GO:0070320;GO:0070320;GO:0099104;GO:0099104;GO:0099104;GO:0099104;GO:0140359;GO:0140359;GO:0140359;GO:0140359;GO:0042626;GO:0042626;GO:0042626;GO:0042626
ABCC9	GO:0005261;GO:0005261;GO:0005267;GO:0005267;GO:0015272;GO:0015272;GO:0022857;GO:0022857;GO:0005524;GO:0005524;GO:0008281;GO:0008281;GO:0015459;GO:0015459;GO:0016887;GO:0016887;GO:0019829;GO:0019829;GO:0042626;GO:0042626;GO:0043225;GO:0043225;GO:0044325;GO:0044325;GO:0140359;GO:0140359
ABCD1	GO:0005324;GO:0005324;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0015607;GO:0015607;GO:0016887;GO:0016887;GO:0019899;GO:0019899;GO:0042626;GO:0042626;GO:0042802;GO:0042802;GO:0042803;GO:0042803;GO:0043531;GO:0043531;GO:0046982;GO:0046982;GO:0047617;GO:0047617
