AADC	GO:0005829;GO:0008021;GO:0030424;GO:0043025;GO:0070062;GO:0005737
AAG	GO:0005654;GO:0005829;GO:0042645
AAG10	GO:0005634;GO:0005739;GO:0005758
AAG13	GO:0005615;GO:0005730;GO:0005829;GO:0005886;GO:0070062;GO:0005634;GO:0048471
AAG2	GO:0005737;GO:0005829;GO:0070062
AAG4	GO:0005856;GO:0016020;GO:0062023;GO:0071944;GO:0005576;GO:0005615;GO:0005634;GO:0005737;GO:0005739;GO:0005743;GO:0005794;GO:0005829;GO:0009986;GO:0031093;GO:0042583;GO:0043231;GO:0045202;GO:0048471;GO:0070062;GO:0072562;GO:0097418;GO:0097440;GO:0099020;GO:0032991;GO:0034366
AAG5	GO:0005730;GO:0005739;GO:0005777;GO:0005778;GO:0005782;GO:0005829;GO:0016020
AAG8	GO:0005635;GO:0005637;GO:0005640;GO:0005783;GO:0005789;GO:0005811;GO:0005829;GO:0014069;GO:0016020;GO:0030426;GO:0031410;GO:0070161;GO:0098839
AAGAB	GO:0005737;GO:0005829;GO:0016607
AAK1	GO:0005829;GO:0005905;GO:0019897;GO:0030136;GO:0031252;GO:0043195
AAMDC	GO:0005737
AAMP	GO:0005829;GO:0005886;GO:0009986;GO:0015630;GO:0045171
AANAT	GO:0005829;GO:0048471;GO:0005737
AAP	GO:0005576;GO:0005615;GO:0009986;GO:0031093;GO:0070062;GO:0072562;GO:0005577;GO:0062023
AAR2	GO:0005681;GO:0005682
AARF	GO:0016020
AARS	GO:0005737;GO:0005829;GO:0016020;GO:0070062;GO:0005739
AARS1	GO:0005737;GO:0005829;GO:0016020;GO:0070062;GO:0005739
AARS2	GO:0005739
AARSD1	GO:0005634;GO:0005737
AARSL	GO:0005739
AASDHPPT	GO:0005829;GO:0070062
AASS	GO:0005634;GO:0005739;GO:0005759;GO:0005829;GO:0043231;GO:0005737
AAT	GO:0005576;GO:0005615;GO:0005783;GO:0005788;GO:0005794;GO:0030134;GO:0031093;GO:0033116;GO:0043231;GO:0062023;GO:0070062;GO:1904813
AAT1	GO:0005829;GO:0070062;GO:0005739;GO:0005930;GO:0031514
AAT2	GO:0005759
AATF	GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005794;GO:0005667
AATK	GO:0005575;GO:0016020;GO:0048471
AATYK	GO:0005575;GO:0016020;GO:0048471
AATYK2	GO:0005769;GO:0005794;GO:0005829;GO:0016020;GO:0030426;GO:0043025;GO:0048471;GO:0055037
AAVR	GO:0000139;GO:0005730;GO:0005794;GO:0005886;GO:0031410;GO:0016020
ABAT	GO:0005739;GO:0005759;GO:0043005;GO:0032144
ABBP1	GO:0005634;GO:0005654;GO:0005737;GO:0030425;GO:0045293;GO:0071598;GO:0090575;GO:1990124;GO:1990904
ABC1	GO:0005768;GO:0005789;GO:0005794;GO:0005886;GO:0009897;GO:0030139;GO:0045121;GO:0045335;GO:0048471;GO:0097708;GO:0043231
ABC12	GO:0000139;GO:0005737;GO:0005829;GO:0005886;GO:0016020;GO:0030658;GO:0097209;GO:0097234;GO:0043231
ABC2	GO:0005575;GO:0005829;GO:0005886;GO:0005764;GO:0005765;GO:0005768;GO:0005815;GO:0010008;GO:0016020;GO:0031410;GO:0043231;GO:0043190
ABC3	GO:0005615;GO:0005765;GO:0005770;GO:0005886;GO:0030659;GO:0032585;GO:0042599;GO:0097208;GO:0097232;GO:0097233;GO:0043231
ABC50	GO:0005635;GO:0005654;GO:0005829;GO:0016020
ABC7	GO:0005739;GO:0005743;GO:0016020
ABC8	GO:0000139;GO:0005739;GO:0005768;GO:0005789;GO:0005794;GO:0005886;GO:0009897;GO:0055037
ABCA1	GO:0005768;GO:0005789;GO:0005794;GO:0005886;GO:0009897;GO:0030139;GO:0045121;GO:0045335;GO:0048471;GO:0097708;GO:0043231
ABCA10	GO:0016020;GO:0043231
ABCA12	GO:0000139;GO:0005737;GO:0005829;GO:0005886;GO:0016020;GO:0030658;GO:0097209;GO:0097234;GO:0043231
ABCA13	GO:0005886;GO:0030667;GO:0035577;GO:0097708;GO:0043231
ABCA2	GO:0005886;GO:0005764;GO:0005765;GO:0005768;GO:0005815;GO:0010008;GO:0016020;GO:0031410;GO:0043231;GO:0043190
ABCA3	GO:0005615;GO:0005765;GO:0005770;GO:0005886;GO:0030659;GO:0032585;GO:0042599;GO:0097208;GO:0097232;GO:0097233;GO:0043231
ABCA4	GO:0001750;GO:0005783;GO:0005886;GO:0016020;GO:0031410;GO:0097381;GO:0120202;GO:0043231
ABCA5	GO:0000139;GO:0005764;GO:0005765;GO:0005770;GO:0005886;GO:0031902;GO:0005794
ABCA6	GO:0000139;GO:0005654;GO:0005886;GO:0043231
ABCA7	GO:0000139;GO:0001891;GO:0005783;GO:0005794;GO:0005886;GO:0009986;GO:0030054;GO:0031901;GO:0032587;GO:0097386;GO:0043231
